Nutrients;CO2;size;density;conductance;index
100%Long Ashton;400;7.066;157.2697963;0.3476287;32.89473684
100%Long Ashton;400;7.3345;138.3974208;0.4225569;30.98591549
100%Long Ashton;400;7.7665;150.9790045;0.4588193;33.8028169
100%Long Ashton;280;5.13725;276.7948416;0.4043;28.75641026
100%Long Ashton;280;5.3444;374.3021153;0.3482218;33.57334869
100%Long Ashton;280;9.9809;84.92569002;0.4907173;36.05974395
100%Long Ashton;180;5.12325;380.5929071;0.5572084;33.4049033
100%Long Ashton;180;4.49455;342.848156;0.3657977;33.63754144
100%Long Ashton;180;4.77215;402.6106786;0.4133551;31.68627451
50%Long Ashton;400;6.5827;119.5250452;0.4225569;31.64556962
50%Long Ashton;400;6.2499;157.2697963;0.4588193;28.16044715
50%Long Ashton;280;4.45625;383.7383031;0.4043;31.43487389
50%Long Ashton;280;4.41975;320.8303845;0.3482218;27.03386477
50%Long Ashton;280;5.26375;270.5040497;0.4907173;32.11491169
50%Long Ashton;180;6.0821;204.4507352;0.5437051;26.83060109
50%Long Ashton;180;6.1507;267.3586538;0.3594404;29.92957746
50%Long Ashton;180;5.07535;301.958009;0.4133551;30.31462585
