response;CO2;Nutrients;Species;comp;;;;;;;;
64,44444444;180;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
19,23076923;180;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
21,14216282;180;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
28,22384428;180;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
11,82795699;240;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
16,86615887;240;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
24,92370295;240;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
32,14862682;240;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
11,98757764;240;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
9,546061415;300;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
13,17829457;300;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
36,01694915;300;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
42,94871795;300;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
32,57142857;300;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
26,52705061;400;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
8,080808081;400;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
14,9122807;400;100%Long Ashton;O.pes-caprae;Stomatal limitation;;;;;;;;
17,53;180;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
22,12;180;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
18,16;180;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
11,11;280;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
13,58;280;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
13,81;280;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
7,27;400;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
7,77;400;50%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
15,11;180;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
16,16;180;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
16,16;180;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
13,56;280;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
13,36;280;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
10,65;280;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
8,64;400;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
8,53;400;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
7,50;400;100%Long Ashton;O.punctata;Stomatal limitation;;;;;;;;
0,32;180;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
6,3;180;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
6,49;180;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
2,95;180;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
24,6;240;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
7,64;240;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
14,76;240;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
4,2;240;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
14,17;240;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
13,55;300;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
8,96;300;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
1,51;300;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
1,78;300;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
1,18;300;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
4,21;400;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
9,1;400;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
1,94;400;100%Long Ashton;O.pes-caprae;Photosynthetic rate;;;;;;;;
21,26;180;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
17,36;180;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
26,37;180;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
37,69;280;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
23,67;280;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
27,15;280;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
42,70;400;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
39,15;400;50%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
29,57;180;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
28,59;180;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
28,59;180;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
28,63;280;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
30,67;280;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
21,23;280;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
39,01;400;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
41,93;400;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
40,93;400;100%Long Ashton;O.punctata;Photosynthetic rate;;;;;;;;
